sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.3609440326690674,0.9688650369644164,0.0001027991020237,0.5879366397857666,0.7357266545295715,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6878048181533811,0.5391898155212402,0.0001319712901022,0.4639617502689361,0.4456245303153991,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.9924262762069704,0.7520982027053833,0.0001118002401199,0.532792866230011,0.5937865376472473,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.9597994089126587,0.8080644011497498,0.0001068588899215,0.4872259199619293,0.5382043123245239,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6610881090164185,0.6839166283607483,0.0001076053085853,0.4747733473777771,0.4727635085582733,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.094923973083496,0.8787991404533386,0.0001034086672007,0.5416686534881592,0.6693208813667297,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,4.201728820800781,1.0728378295898438,0.0001654822699492,0.4954946935176849,0.8064216375350952,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,3.1015331745147705,0.7932079434394836,0.0001665527233853,0.4909499585628509,0.6145949959754944,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.358150005340576,0.9230388402938844,0.0001089730139938,0.5035330653190613,0.6506030559539795,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.78583562374115,0.7394787669181824,0.0001052606821758,0.5742971897125244,0.5531432032585144,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.7904292345046997,0.8814648389816284,8.602411980973557e-05,0.5349158644676208,0.6449224948883057,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.473949670791626,0.7591579556465149,0.0001395363942719,0.4740318953990936,0.5126503109931946,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6444357633590698,0.7010416984558105,0.0001003788274829,0.5928786396980286,0.507328987121582,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,0.9975892901420592,0.490664929151535,8.531649655196816e-05,0.5321865677833557,0.3663460314273834,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.410520315170288,0.6172042489051819,0.0001618189853616,0.4882367253303528,0.4725626707077026,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.5600028038024902,0.8354637622833252,0.0001410712720826,0.476260244846344,0.5933967232704163,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128
traj1659_snap47,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.331225633621216,0.9566693902015686,0.2618744373321533,0.0867007598280906,1.0371156930923462,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1717_snap6,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.7391271591186523,0.5555853843688965,0.228112444281578,0.0369023457169532,0.6166343092918396,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1691_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.012444257736206,0.7596545815467834,0.2565729022026062,0.0502083823084831,0.8299018740653992,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1672_snap19,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.9635931253433228,0.8096286058425903,0.2822632789611816,0.1435017734766006,0.7595953941345215,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1672_snap22,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.6659754514694214,0.6859289407730103,0.2380070090293884,0.128418430685997,0.6503962874412537,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.0473666191101074,0.8588492274284363,0.2580569088459015,0.0746795758605003,0.9264556169509888,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,4.006851196289063,1.0230792760849,0.511855959892273,0.0765735730528831,1.093747615814209,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,3.086530923843384,0.7893711924552917,0.3875685930252075,0.0690586790442466,0.8533246517181396,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.3259313106536865,0.9104276299476624,0.2785717844963074,0.1150234192609787,0.908461570739746,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.7737438678741455,0.7344717979431152,0.2191752046346664,0.1043045818805694,0.7733939290046692,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.7610992193222046,0.8670250773429871,0.2054498344659805,0.0989223644137382,0.9041998982429504,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.445359230041504,0.7503846883773804,0.3017794191837311,0.121894396841526,0.7140666842460632,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.650707483291626,0.703715443611145,0.2292866259813308,0.1283840090036392,0.7244483828544617,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,1.0287996530532837,0.5060157775878906,0.1563695818185806,0.1038993671536445,0.5146099328994751,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.434346914291382,0.6233049631118774,0.3370475172996521,0.0778321251273155,0.6591973900794983,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,sparse_grid,0.0,2.5054290294647217,0.8176534175872803,0.3337524533271789,0.108319267630577,0.8094560503959656,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0637346059083938,0.0261548887938261,2.850667260645423e-05,0.0205284133553504,0.0415775291621685,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.0584607347846031,0.0186759941279888,3.4879361919593066e-05,0.018780417740345,0.0331886671483516,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128
