sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0456374064087867,0.0187283065170049,1.7690908862277865e-05,0.1231945678591728,0.0539409033954143,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0524090267717838,0.0167427025735378,2.110347486450337e-05,0.139814555644989,0.0485701598227024,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0482132099568843,0.0181994531303644,1.9245704606873915e-05,0.1287776976823806,0.0533132590353488,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0511196367442607,0.0210776478052139,1.7357784599880688e-05,0.1396791785955429,0.0605445839464664,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0507911369204521,0.0209121368825435,1.611618972674478e-05,0.1313554793596267,0.0623708292841911,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0481375306844711,0.0201931986957788,1.746973612171132e-05,0.1260206252336502,0.0593186058104038,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0463716872036457,0.0118401981890201,2.903998938563745e-05,0.124063566327095,0.034371368587017,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0482134148478508,0.0123304380103945,2.9023573006270453e-05,0.1332742124795913,0.0351096503436565,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.048764307051897,0.0190875679254531,1.8394157450529747e-05,0.1268683224916458,0.0570342056453228,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0509802475571632,0.0211098995059728,1.625518052605912e-05,0.1293098181486129,0.0644592568278312,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0492606088519096,0.024252001196146,1.421638353349408e-05,0.1288783848285675,0.071639560163021,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0526268295943737,0.0161491055041551,2.215160202467814e-05,0.1430373191833496,0.0461657978594303,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0485541634261608,0.020699193701148,1.605693068995606e-05,0.1349506229162216,0.0588473156094551,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0512867346405983,0.0252254121005535,1.3094096175336745e-05,0.1241355389356613,0.0790865868330001,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0480748228728771,0.0123093705624341,2.7334584956406616e-05,0.1284998953342437,0.0356448329985141,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0499357767403125,0.0162966735661029,2.11582791962428e-05,0.1322327852249145,0.0479644164443016,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma2p0
