sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.08144032955169678,0.03342081978917122,1.1935411748709157e-05,0.22373643517494202,0.08154144138097763
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07720940560102463,0.024665486067533493,1.4218868273019325e-05,0.18992990255355835,0.05738713964819908
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07512492686510086,0.02835804782807827,1.2581979717651848e-05,0.17216277122497559,0.07122886180877686
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07653112709522247,0.03155531361699104,1.0840485629159957e-05,0.1774236261844635,0.08001493662595749
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.08623592555522919,0.0355057530105114,1.000881729851244e-05,0.1970677226781845,0.09330231696367264
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.08283782750368118,0.03474961966276169,1.1818222446891014e-05,0.1888100653886795,0.08658267557621002
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07954716682434082,0.02031097561120987,2.0654928448493592e-05,0.1791577786207199,0.051878899335861206
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.06435516476631165,0.016458643600344658,2.2954151063458994e-05,0.15333770215511322,0.039553202688694
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07110908627510071,0.02783387526869774,1.2650930329982657e-05,0.16301432251930237,0.0701979249715805
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07338040322065353,0.03038535639643669,1.0602145266602747e-05,0.17538073658943176,0.06904540210962296
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.10072055459022522,0.04958678409457207,8.704997526365332e-06,0.24252045154571533,0.12620651721954346
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.08084020763635635,0.024806685745716095,1.3555250916397199e-05,0.16119608283042908,0.06739047169685364
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0817946270108223,0.034869980067014694,1.0859550457098521e-05,0.20403683185577393,0.08634066581726074
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.09063436836004257,0.04457857087254524,7.402913524856558e-06,0.17771892249584198,0.1221563071012497
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.06729051470756531,0.0172294732183218,1.9327928384882398e-05,0.14892855286598206,0.04443120211362839
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.07293122261762619,0.023801296949386597,1.3046841559116729e-05,0.15484966337680817,0.06091265752911568
