sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.6532952785491943,1.4992095232009888,0.001316520501859486,2.2705512046813965,4.0313801765441895
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,4.116537570953369,1.3150782585144043,0.0015846689930185676,2.2695114612579346,3.452504873275757
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.7338368892669678,1.4094433784484863,0.0013754921965301037,2.226874351501465,3.6808557510375977
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.5301513671875,1.4555518627166748,0.0012960241874679923,2.130037307739258,3.809316396713257
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.5233254432678223,1.4506521224975586,0.001279622782021761,2.1240906715393066,3.779475450515747
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.461355447769165,1.4520031213760376,0.0013445115182548761,2.2011899948120117,3.891397476196289
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,4.364781379699707,1.114470362663269,0.002080486388877034,2.2191569805145264,2.835258722305298
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,4.322253704071045,1.1054037809371948,0.002124359365552664,2.2603824138641357,2.74960994720459
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.8138115406036377,1.492821216583252,0.001504395273514092,2.309760093688965,3.978518486022949
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.4839017391204834,1.4426140785217285,0.001332844258286059,2.167962074279785,3.856990098953247
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.30400013923645,1.62662672996521,0.001120736706070602,2.165841817855835,4.419918060302734
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.6878087520599365,1.1316436529159546,0.001792985131032765,2.1131505966186523,2.879077911376953
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.8397629261016846,1.6369346380233765,0.0012423570733517408,2.3150644302368164,4.435074806213379
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,3.314326524734497,1.6301535367965698,0.0010886379750445485,2.135979175567627,4.512025833129883
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,4.290387153625488,1.0985368490219116,0.002338810358196497,2.260549783706665,2.742738962173462
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.0,downsample,0.0,4.014642238616943,1.3101892471313477,0.0016569708241149783,2.2442479133605957,3.430159330368042
