sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.662153959274292,1.092473030090332,0.1845712959766388,0.03754754737019539,4.000338077545166
traj1717_snap6,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.9981629848480225,0.9577996730804443,0.20318754017353058,0.0369226336479187,3.4495811462402344
traj1691_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.7681994438171387,1.044935941696167,0.19973845779895782,0.037228964269161224,3.7671010494232178
traj1672_snap19,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.604839563369751,1.074027419090271,0.18152602016925812,0.034951914101839066,3.818953275680542
traj1672_snap22,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.6221823692321777,1.079626202583313,0.17718346416950226,0.03189455717802048,3.778066873550415
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.569411516189575,1.0778417587280273,0.17413654923439026,0.04668683558702469,3.8598694801330566
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,3.0800669193267822,0.7864411473274231,0.2089480310678482,0.04320220649242401,2.7954790592193604
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,3.006805181503296,0.7689815759658813,0.22302822768688202,0.04841959848999977,2.6879985332489014
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.764430046081543,1.0820668935775757,0.19574598968029022,0.03795231133699417,3.994884490966797
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.5898146629333496,1.0723903179168701,0.1879083812236786,0.033946067094802856,3.861140251159668
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.5191078186035156,1.2402081489562988,0.1482553780078888,0.04051892086863518,4.5513105392456055
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.64383864402771,0.8112902045249939,0.19406121969223022,0.04083315283060074,2.7878308296203613
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.738272190093994,1.1673567295074463,0.2040271759033203,0.03757930174469948,4.370513439178467
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.502964735031128,1.2310848236083984,0.15039320290088654,0.04099160432815552,4.485615253448486
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,3.1326146125793457,0.8020937442779541,0.23739250004291534,0.044638533145189285,2.8318052291870117
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.0,downsample,0.0,2.925830364227295,0.9548525810241699,0.2312956005334854,0.04294797033071518,3.473635673522949
