sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.3609440326690674,0.9688650369644165,0.00010279910202370957,0.5879366397857666,0.7357266545295715
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6878048181533813,0.5391898155212402,0.00013197129010222852,0.46396175026893616,0.44562453031539917
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.9924262762069702,0.7520982027053833,0.00011180024011991918,0.532792866230011,0.5937865376472473
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.9597994089126587,0.8080644011497498,0.00010685888992156833,0.4872259199619293,0.5382043123245239
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6610881090164185,0.6839166283607483,0.00010760530858533457,0.4747733473777771,0.4727635085582733
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.094923973083496,0.8787991404533386,0.00010340866720071062,0.5416686534881592,0.6693208813667297
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,4.201728820800781,1.0728378295898438,0.00016548226994927973,0.49549469351768494,0.8064216375350952
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,3.1015331745147705,0.7932079434394836,0.00016655272338539362,0.49094995856285095,0.6145949959754944
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.358150005340576,0.9230388402938843,0.00010897301399381831,0.5035330653190613,0.6506030559539795
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.78583562374115,0.7394787669181824,0.00010526068217586726,0.5742971897125244,0.5531432032585144
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.7904292345046997,0.8814648389816284,8.602411980973557e-05,0.5349158644676208,0.6449224948883057
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.473949670791626,0.7591579556465149,0.0001395363942719996,0.47403189539909363,0.5126503109931946
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,1.6444357633590698,0.7010416984558105,0.00010037882748292759,0.5928786396980286,0.507328987121582
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,0.9975892901420593,0.49066492915153503,8.531649655196816e-05,0.5321865677833557,0.3663460314273834
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.410520315170288,0.6172042489051819,0.00016181898536160588,0.4882367253303528,0.47256267070770264
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,sparse_grid,0.0,2.5600028038024902,0.8354637622833252,0.00014107127208262682,0.476260244846344,0.5933967232704163
