method_variant,method,physics_informed,physics_projection,operator,run,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
ddrm,ddrm,0,0,blur,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0,0.07887392863631244,0.029882292612455723,1.3197713911949904e-05,0.18182947300374505,0.07551066391170021
ddrm,ddrm,0,0,blur,runs_ddrm_colab/ddrm_blur_full_val_eta0p0_n640_steps128_sigma4p0,0.08171942093176762,0.033736110162862994,1.147017152121066e-05,0.1905082641402259,0.087788065749919
ddrm,ddrm,0,0,downsample,runs_ddrm_colab/ddrm_downsample_eta0p0_n16_steps128,0.06551351025700565,0.024707620963454205,3.179781447215646e-05,0.019683772407006424,0.04314124898519363
ddrm,ddrm,0,0,downsample,runs_ddrm_colab/ddrm_downsample_full_val_eta0p0_n640_steps128,0.06501477801357392,0.02666501975763817,2.9146310771466234e-05,0.019598073975066604,0.04639843052718783
ddrm,ddrm,0,0,sparse_grid,runs_ddrm_colab/ddrm_sparse_grid_eta0p0_n16_steps128,2.192572582513094,0.7777808774262667,0.00012030364268863148,0.5156965013593435,0.5735872834920883
ddrm,ddrm,0,0,sparse_grid,runs_ddrm_colab/ddrm_sparse_grid_full_val_eta0p0_n640_steps128,1.923418063763529,0.754878846462816,0.00011068161744557487,0.5299314877018333,0.5713962394278497
ddrm_physics,ddrm,0,1,blur,runs_ddrm_colab/ddrm_phys_blur_eta0p0_n16_steps128_sigma4p0,0.059062252519652206,0.02239757229108359,1.4027329143573297e-05,0.006199114781338669,0.07593665248714383
ddrm_physics,ddrm,0,1,blur,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0,0.06133084480534303,0.025359158171340775,1.2541730961146413e-05,0.006444389530588475,0.08821681875851932
ddrm_physics,ddrm,0,1,downsample,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128,0.0799184800125658,0.03002779273083428,0.011662918317597313,0.0009449675962968688,0.051878605154342894
ddrm_physics,ddrm,0,1,downsample,runs_ddrm_colab/ddrm_phys_downsample_full_val_eta0p0_n640_steps128,0.07890486653777766,0.03225544283923222,0.011518879258073817,0.0009081731094738139,0.05567413418611973
ddrm_physics,ddrm,0,1,sparse_grid,runs_ddrm_colab/ddrm_phys_sparse_grid_eta0p0_n16_steps128,2.1736581921577454,0.771985337138176,0.28035899717360735,0.09528894070535894,0.7984378300607204
ddrm_physics,ddrm,0,1,sparse_grid,runs_ddrm_colab/ddrm_phys_sparse_grid_full_val_eta0p0_n640_steps128,1.9307470199652017,0.757182102277875,0.24703627511626106,0.08319067298289151,0.8001895063091069
